scientific_name,authority
Mastocarpus,"Kützing, 1843"
Mastocarpus papillatus,"(C.Agardh) Kützing, 1843"
Gracilaria,"Greville, 1830"
Prionitis,"J.Agardh, 1851"
Schizymenia,"J.Agardh, 1851"
Plocamium,"J.V.Lamouroux, 1813"
Plocamium violaceum,"Farlow, 1877"
Fauchea laciniata,"J.Agardh, 1885"
Sparlingia pertusa,"(Postels & Ruprecht) G.W.Saunders, I.M.Strachan & Kraft, 1999"
Smithora naiadum,"(C.L.Anderson) Hollenberg, 1959"
Acrosiphonia,"J.Agardh, 1846"
Prasiola,"Meneghini, 1838"
Ulvophyceae,"K.R. Mattox & K.D. Stewart, 1978"
Codium fragile,"(Suringar) Hariot, 1889"
Codium setchellii,"N.L.Gardner, 1919"
Derbesia marina,"(Lyngbye) Solier, 1846"
Bryopsis,"J.V.Lamouroux, 1809"
Cladophora,"Kützing, 1843"
Cladophora columbiana,"F.S.Collins, 1903"
Cladophora sericea,"(Hudson) Kützing, 1843"
Monostroma,"Thuret, 1854"
Lola lubrica,"(Setchell & N.L.Gardner) A.Hamel & G.Hamel, 1929"
Ulva,"Linnaeus, 1753"
Ulva intestinalis,"Linnaeus, 1753"
Ulva lactuca,"Linnaeus, 1753"
Phyllospadix,"W.J.Hooker, 183"
Phyllospadix scouleri,"W.J.Hooker, 1838"
Phyllospadix serrulatus,"Ruprecht ex Ascherson, 1868"
Phyllospadix torreyi,"S.Watson, 1879"
Zostera,L.
Zostera marina,"Linnaeus, 1753"
